Cos Distance,x1y1,x2y2
0.10214783130613969,[250.        74.71154   38.054626],[165.31474  405.39938   38.054626]
0.10906397812007429,[53.571426 37.94872  38.054626],[66. 77. 32.]
0.11480750573810072,[205.  38.  32.],[208.  34.  64.]
0.1157978731536734,[ 58. 153.  32.],[236.67363  599.1826    38.054626]
0.11627220493211499,[318.  52.  32.],[698.12775  301.96902   38.054626]
0.11665444755831922,[265.  55.  32.],[514.82874  158.40884   45.254833]
0.11669503358153532,[273.  76.  32.],[622.47797 194.97214  76.10925]
0.1171555977389036,[217.  85.  32.],[717. 307.  32.]
0.11773631855860922,[213.  26.  32.],[217.  17.  32.]
0.11801321907045581,[319.0476    52.17949   38.054626],[606. 531.  32.]
0.11959526977131685,[229.7619    73.52564   38.054626],[582.7642   530.22906   38.054626]
0.11965274292770178,[130.95238   65.22436   38.054626],[ 94. 113.  32.]
0.11991601375938499,[198. 141.  32.],[516.2036  509.19913  53.81737]
0.120201047218366,[294.  46.  32.],[625. 191.  32.]
0.12314427920161386,[53. 38. 32.],[302.08594  530.22906   38.054626]
0.12340137525213524,[274.  19.  32.],[224. 563.  32.]
0.12477299115568996,[205.  28.  32.],[208.  20.  32.]
0.12501119906773173,[145. 108.  32.],[490.78455  301.25967   45.254833]
0.12599846769809775,[ 44. 126.  32.],[953. 262.  32.]
0.12611765350903215,[ 58.333332 152.98077   38.054626],[288. 625.  32.]
0.12759021125052128,[317.  64.  32.],[513.41437  257.41437   45.254833]
0.13099767597472156,[229.  74.  32.],[308. 280. 128.]
0.13139732845080243,[250.  74.  32.],[857.4959   306.72446   38.054626]
0.13144051723825056,[57. 79. 32.],[634. 360.  32.]
0.13181285446067414,[199.  85.  32.],[ 95.0348  449.387    76.10925]
0.13314732579085153,[57.142857 79.45513  38.054626],[242.12808 638.59955  53.81737]
0.13320391631307538,[ 44.04762  138.75      38.054626],[ 27.354239 420.8545    38.054626]
0.13552569006185333,[130.95238  160.09616   38.054626],[368. 664.  32.]
0.1379273026003046,[303.5714   123.333336  38.054626],[616.663    371.9779    45.254833]
0.13916180994851135,[207. 149.  32.],[ 53.894737 613.0526   107.63474 ]
0.1393910376816868,[273.8095    20.160257  38.054626],[ 42.76566 392.32196  76.10925]
0.14406304696484806,[102.38095   23.717949  38.054626],[550.18787  437.0387    45.254833]
0.14449791690228264,[161.  94.  32.],[210.18062 552.89276  53.81737]
0.14528384885133838,[318. 100.  32.],[963.3449   317.42413   38.054626]
0.14536924896616854,[261.  86.  32.],[915. 324.  32.]
0.14694914912080137,[92. 86. 32.],[106.077354 179.62431   45.254833]
0.14794377572367334,[230. 138.  32.],[178.3972   388.7554    38.054626]
0.14902545776953224,[113.09524  126.89103   38.054626],[123.68873  650.3034    38.054626]
0.14964028182810707,[115. 142.  32.],[851.5493   203.29411   38.054626]
0.15159196216434656,[205.95238  148.23718   38.054626],[ 97.59116  251.75691   45.254833]
0.15190290017170438,[18. 87. 32.],[633. 252.  32.]
0.15362415044294753,[ 44.04762  125.70513   38.054626],[360. 222.  64.]
0.15366522704547803,[35.714287 33.205128 38.054626],[174. 562.  64.]
0.15733106357718973,[219.0476   151.79488   38.054626],[115.977905 254.58563   45.254833]
0.15791513487991526,[65. 40. 32.],[944. 174.  32.]
0.1586617422910297,[ 30.952381 126.89103   38.054626],[409.12427  224.6935    38.054626]
0.15901875937418875,[133.33333  120.96154   38.054626],[769. 196.  32.]
0.1603799389743168,[245.  16.  32.],[804. 116. 128.]
0.16046816609363446,[228.  22.  32.],[797.70166 124.2353   90.50967]
0.16093652971557704,[64.28571  54.55128  38.054626],[ 29. 595.  32.]
0.16128148359518846,[242.  57.  32.],[427.7895  198.73685 107.63474]
0.16170054471643125,[ 24. 115.  32.],[489.37018  210.74034   45.254833]
0.1620044240347075,[304.  86.  32.],[887.22876  297.21362   38.054626]
0.1622873748462944,[180.95238  119.77564   38.054626],[ 45.25967 127.05882  90.50967]
0.16332260393368658,[210.71428   60.48077   38.054626],[240.24158  639.6037    38.054626]
0.16585024130958304,[132.14285   33.205128  38.054626],[590. 284.  64.]
0.1662212019338889,[72. 85. 32.],[74. 94. 32.]
