Cos Distance,x1y1,x2y2
0.10214783130613969,[1037.8379    310.15384    38.054626],[1617.3147    405.39938    38.054626]
0.1157978731536734,[240.77838 635.15674  32.     ],[1688.6736    599.1826     38.054626]
0.11627220493211499,[1320.1298   215.87027   32.     ],[2150.1277    301.96902    38.054626]
0.11665444755831922,[1100.1082   228.32433   32.     ],[1966.8287    158.40884    45.254833]
0.11669503358153532,[1133.319    315.50272   32.     ],[2074.478    194.97214   76.10925]
0.1171555977389036,[900.84326 352.86487  32.     ],[2169.  307.   32.]
0.11959526977131685,[953.8224   305.23077   38.054626],[2034.7642    530.22906    38.054626]
0.11965274292770178,[543.62933  270.76923   38.054626],[1546.  113.   32.]
0.11991601375938499,[821.9676 585.3405  32.    ],[1968.2036   509.19913   53.81737]
0.120201047218366,[1220.4973   190.96216   32.     ],[2077.  191.   32.]
0.12314427920161386,[220.02162 157.75136  32.     ],[1754.0859    530.22906    38.054626]
0.12501119906773173,[601.9459  448.34595  32.     ],[1942.7845    301.25967    45.254833]
0.12599846769809775,[182.65945 523.07025  32.     ],[2405.  262.   32.]
0.12759021125052128,[1315.9784  265.6865   32.    ],[1965.4143    257.41437    45.254833]
0.13099767597472156,[950.6595 307.2     32.    ],[1760.  280.  128.]
0.13139732845080243,[1037.8379  307.2      32.    ],[2309.4958    306.72446    38.054626]
0.13144051723825056,[236.62703 327.95676  32.     ],[2086.  360.   32.]
0.13181285446067414,[826.1189  352.86487  32.     ],[1547.0348   449.387     76.10925]
0.13314732579085153,[237.22008  329.84616   38.054626],[1694.128    638.59955   53.81737]
0.1379273026003046,[1260.2316    512.         38.054626],[2068.663     371.9779     45.254833]
0.14449791690228264,[668.36755 390.22702  32.     ],[1662.1807   552.89276   53.81737]
0.14528384885133838,[1320.1298   415.13513   32.     ],[2415.345     317.42413    38.054626]
0.14536924896616854,[1083.5027  357.0162   32.    ],[2367.  324.   32.]
0.14694914912080137,[381.92432 357.0162   32.     ],[1558.0774    179.62431    45.254833]
0.14794377572367334,[954.8108 572.8865  32.    ],[1630.3972    388.7554     38.054626]
0.14902545776953224,[469.49808  526.7692    38.054626],[1575.6887    650.3034     38.054626]
0.14964028182810707,[477.4054 589.4919  32.    ],[2303.5493    203.29411    38.054626]
0.15362415044294753,[182.85715  521.8462    38.054626],[1812.  222.   64.]
0.156317297244708,[859.3297  618.55133  32.     ],[1507.1603    625.1492     45.254833]
0.15791513487991526,[269.83783 166.05405  32.     ],[2396.  174.   32.]
0.15901875937418875,[553.5135   502.15384   38.054626],[2221.  196.   32.]
