Cos Distance,x1y1,x2y2
0.02954427422689765,[349.   0.  32.],[1020.6316     0.       107.63474]
0.039843389565260456,[347.   0.  32.],[1018.9557     0.        53.81737]
0.053905889266768314,[297.61905    0.        38.054626],[300.   0.  32.]
0.07421148481827611,[341.  50.  32.],[619.7895  195.36842 107.63474]
0.07508483772802599,[213.  26.  32.],[221.95074   13.444201  53.81737 ]
0.0753111711499912,[263.09525    9.48718   38.054626],[271.   5.  32.]
0.0786851328371122,[ 94.047615 181.4423    38.054626],[144.2652  759.5294   90.50967]
0.0854494180350528,[102.38095  173.14102   38.054626],[505. 756.  32.]
0.08577507051746469,[293.   0.  32.],[270.84918   0.       76.10925]
0.0894844669124869,[264.2857      7.1153846  38.054626 ],[270.   2.  64.]
0.09059524424876819,[ 95. 182.  32.],[243.27072 756.7059   90.50967]
0.09113218278739577,[ 72. 180.  32.],[212.21053 754.5263  107.63474]
0.09116293595861957,[152.38095  179.07051   38.054626],[474.16748 761.2779   53.81737]
0.09247573863546332,[205.  28.  32.],[208.49918   16.805252  53.81737 ]
0.09308117323832255,[336.  75.  32.],[591.20447 288.       90.50967]
0.09675447642464774,[103. 174.  32.],[488. 756.  32.]
0.10059253251934419,[194.   0.  32.],[448.   0.  32.]
0.10133979047574371,[128.57143  173.14102   38.054626],[ 57.16913 759.5974   53.81737]
0.10214783130613969,[250.        74.71154   38.054626],[165.31474  405.39938   38.054626]
0.10328511451193845,[244.0476    15.416667  38.054626],[238.  12.  32.]
0.1033153442103465,[53.571426 37.94872  38.054626],[350. 757.  32.]
0.10352544424138743,[ 59. 175.  32.],[ 12. 745.  32.]
0.10379561786698521,[180. 182.  32.],[586.96136  763.7569    45.254833]
0.10411373756804576,[134.   0.  32.],[502.09946    0.        45.254833]
0.10421389459779162,[  2.3809524 111.47436    38.054626 ],[  2. 111.  32.]
0.10582868624595987,[344.0476   176.69872   38.054626],[1013.8947   751.1579   107.63474]
0.1100864162027545,[171.   0.  32.],[406.9097    0.       53.81737]
0.11011871610312762,[ 59.523808 174.32692   38.054626],[993.11365 722.8235   76.10925]
0.11015506542850195,[186.   0.  32.],[854.   0.  64.]
0.11284762891651956,[215.  26.  32.],[224.88399   14.143646  45.254833]
0.11429768110277849,[201.   0.  32.],[874.3514    0.       53.81737]
0.11480750573810072,[205.  38.  32.],[208.  34.  64.]
0.11481593920548427,[258.   0.  32.],[236.67363    0.        38.054626]
0.1157978731536734,[ 58. 153.  32.],[236.67363  599.1826    38.054626]
0.1162328415937155,[289.  13.  32.],[124. 636.  32.]
0.11627220493211499,[318.  52.  32.],[698.12775  301.96902   38.054626]
0.11665444755831922,[265.  55.  32.],[514.82874  158.40884   45.254833]
0.1171555977389036,[217.  85.  32.],[717. 307.  32.]
0.11801321907045581,[319.0476    52.17949   38.054626],[606. 531.  32.]
0.11883635382385282,[198. 141.  32.],[ 52. 612. 128.]
0.11919077590868699,[345.  64.  32.],[627.9779  245.64706  90.50967]
0.11959526977131685,[229.7619    73.52564   38.054626],[582.7642   530.22906   38.054626]
0.11965274292770178,[130.95238   65.22436   38.054626],[ 94. 113.  32.]
0.12255593768734552,[344.0476    62.852566  38.054626],[623.1579  245.89474 107.63474]
0.12309546588016107,[274.  19.  32.],[274.  15.  32.]
0.12350371956761075,[344. 176.  32.],[302.6601  761.2779   53.81737]
0.12370922780502247,[336. 113.  32.],[697. 301.  32.]
0.12449139648799001,[  2. 120.  32.],[380. 749.  32.]
0.12501119906773173,[145. 108.  32.],[490.78455  301.25967   45.254833]
0.12566007952693137,[  3. 100.  32.],[608.1768  742.58826  90.50967]
0.12599846769809775,[ 44. 126.  32.],[953. 262.  32.]
0.12611765350903215,[ 58.333332 152.98077   38.054626],[288. 625.  32.]
0.1272953986824763,[127.   0.  32.],[493.61328    0.        45.254833]
0.12759021125052128,[317.  64.  32.],[513.41437  257.41437   45.254833]
0.12846377602191617,[ 71.42857  179.07051   38.054626],[912.8421  751.1579  107.63474]
0.13099767597472156,[229.  74.  32.],[308. 280. 128.]
0.1311002090417196,[  6. 160.  32.],[851.5493   203.29411   38.054626]
0.13139732845080243,[250.  74.  32.],[857.4959   306.72446   38.054626]
0.13144051723825056,[57. 79. 32.],[634. 360.  32.]
0.13181285446067414,[199.  85.  32.],[ 95.0348  449.387    76.10925]
0.13314732579085153,[57.142857 79.45513  38.054626],[242.12808 638.59955  53.81737]
